Gene name	CMC_heart_24h_MI_16_011_S11	CMC_heart_24h_MI_20_012_S12	CMC_heart_24h_MI_30_013_S13	CMC_heart_24h_MI_32_014_S14	CMC_heart_24h_MI_34_015_S15	CMC_heart_24h_SHAM_13_016_S16	CMC_heart_24h_SHAM_17_017_S17	CMC_heart_24h_SHAM_19_018_S18	CMC_heart_24h_SHAM_21_019_S19	CMC_heart_24h_SHAM_25_020_S20
1700020A23Rik	0	1	1	1	0	0	0	2	0	0
1700020D05Rik	2	4	2	3	6	1	2	2	0	0
1700020L24Rik	28.882	29.0236	12.10185	17.28807	9.82017	9	20.19316	2.721322	18.88065	13.09978
1700020N01Rik	0	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	627.381	729.2	712.314	797.576	1135.29	616	461.834	429	552	723.706
1700021F07Rik	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	1	1	0	0	0	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	1	1	0	0	1	1	1
1700025C18Rik	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	758.857	1100.57	949.451	1061.72	1648.99	615.897	460.975	404.467	389.272	744.876
1700028J19Rik	3	2	6	2	9	3	3	5	3	7
1700028K03Rik	0	0	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	1	0	0	0	0	0
1700029I15Rik	2	0	0	0	0	0	0	0	0	0
1700029J07Rik	5.00105	10.6174	9	7.06605	11	16.0549	11	10	11	14
1700029P11Rik	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	8	9	2	9	10	0	4.000002	4	6	1.999999
1700030K09Rik	90.9465	113.398	73.4423	89.0982	126.235	79.2962	70.7292	22.5221	49.59100012	71.3126
1700031F05Rik	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0
1700034I23Rik	1	2	4.57556	1	4	0	0	2	2	1
1700034J05Rik	0	2	3	0	1	0	0	0	0	0
1700037C18Rik	36.01195	42.4126	48.26242	47.4952	63.8459	37.50984	16.67672	4.68955	26	32.9464
1700037H04Rik	38.54477	61.00285	42.39418	30.79413	40.79827	33.01021	17.98892	14.32119	14.9679	15.64322
1700040F15Rik	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0	1.58E-07	0.761327	34.6794	2.22927
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	1	12	2.40532	3.76268	5.51118	1	4	4	2	0
1700057G04Rik	0	0	0	0	0	0	0	0	0	0
1700061G19Rik	1	2	2	3	4	1	1	0	1	2
1700064H15Rik	0	0	0	0	0	0	0	0	0	0
1700066B19Rik	6	2	1	2	2	0	0	1	0	0
1700066M21Rik	54	63	56.1539	60	86.9133	57	61	43	21	61
1700067K01Rik	1	1	0	0	2.81687	0	0	0	0	1
1700067P10Rik	0	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	1	1	0	0	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0	0	0
1700086D15Rik	0	1	0	0	0	0	0	0	1	0
1700088E04Rik	17.13444	2	13.0879	6.73007	8.7553	12.91062	8.0844	0	3.322828	5.65075
1700092M07Rik	0	2	0.999992	0	2	0	0	0	0	1
1700093K21Rik	2	0	1	3	1	0	1	0	0	0
1700102P08Rik	3	9	5	2	4	2	3	5	2	3
1700109H08Rik	7.23307	9	3.47067	1.50721	11.9	0	3.999996	2	6	3
1700113H08Rik	0	0	1	0	2.999998	5	3	0	0	0
1700122O11Rik	0	0	0	0	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0	0	0	0	0
1700123L14Rik	0	0	1	0	0	0	0	0	0	0
1700123O20Rik	148.57464	229.8925	238.1091	233.43127	353.29181	95.3791	72.7291	62.99999	102.9111	119.583
1700125H20Rik	0	0	0	0	0	1	0	0	0	0
1700129C05Rik	0	0	0	0	0	0	0	0	0	0
1810009A15Rik	162.378	207.337	202.426	190.588	345.748	106.335	103.28	63.5905	100.398	126.873
1810009J06Rik	0	0	0	0	0	0	0	0	0	0
1810010D01Rik	0	4	0	0	1	3	0	0	1	0
1810010H24Rik	4	7	3	4	9	17.00004	8	4	17	10
1810013L24Rik	0	0	0	0	0	0	0	0	0	0
1810022K09Rik	495.9996	494.62153	565.76079	574.99952	788.80938	374.91769	248.00022	217.0005	245.0001	381.0002
1810024B03Rik	2	3	5	1	5.63932	1	2	2	1	3
1810030O07Rik	275.314	339.299	311.743	301.533	497.844	280.777	185.079	154.358	217.976	270.775
1810032O08Rik	11.56984	44.47022	30.39681	36.94258	47.78939	7.02054	4.39755	6.22521	9.61197	4.03121
1810037I17Rik	454	672	615	678	821	505	376	322	302	383
1810043G02Rik	118.904	122.82608	81.62982	100.56732	87.29503	102.32251	81.87446	79.0638	77.9018	79.41981
1810046K07Rik	0	1	0	0	0	0	0	0	0	0
1810049J17Rik	0	4.42027	0	0	2.08021	0	0	0	0	0
1810055G02Rik	116	254	228	255	351	65	43	35	42	70
1810062G17Rik	5	3	9	9	7	3	6	3	2	3
1810065E05Rik	0	0	0	0	0	0	0	0	0	0
2010003K11Rik	0	0	0	2	0	0	0	0	2	0
2010005H15Rik	5.097974	24.45188	12.75249	9.68124	25.59812	0	1	0	3	0
2010106E10Rik	1	2	0	1	1	0	0	0	0	0
2010109A12Rik	1	2	0	0	1	0	0	1	1	1
2010109I03Rik	0	7.16679	5.0711	0	6.2208	0	4.03301	1.00493	0	2.56451
2010111I01Rik	405.88069	635.42244	654.98206	611.3718132	1055.0171	242.16576	208.38674	128.68183	133.32413	296.97865
2010300C02Rik	11	11	8	8.999998	14	8	10	2	5	7.000004
2010315B03Rik	69.39771	71.34103	64.88095	76.15533	109.22941	96.36885	87.099698	45.96119	42.50323	103.360679
2200002D01Rik	44.3045	113.737	91.8173	86.8762	119.312	7.17584	8.21425	7.06395	15.7708	17.185
2200002J24Rik	0	0	0	0	0	0	1	0	0	0
2210010C04Rik	2	3	0	2	2	1	0	0	0	2
2210011C24Rik	8	9	8	17.00002	9.000004	15.00004	10	18	10	23
2210016F16Rik	787.984	836.977	769	766.98	1017.82	780	672.988	532	561	724
2210016L21Rik	136.751	201.386	167.225	176.539	251.895	117.453	112.211	84.9196	77.1286	100.266
2210017I01Rik	0	2.27301	0	4.65596	0	0	0	0	0	0
2210407C18Rik	460	481.5433	534	317.9996	1029.102	243.9997	222.7955	147.4986	200.9996	209.0002
2210408I21Rik	47.8424	48.633203	64.94012	48.344	60.8473	39.48253	35.27396	28.650498	26.64544	50.9123
2210418O10Rik	179.09934	219.795759	161.46109	177.426	277.48909	191.142	155.111206	104.657	124.86583	203.55
2300002M23Rik	0	0	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0	0	0
2300009A05Rik	85.0773	83.5069	65.5035	98.3304	81.2688	69.0039	46.3078	40.4359	58.1873	66.8607
2310002L09Rik	1180.0025	1467.0016	1326.002	1546.0021	2116.9989	989.00012	912.9998	525.0004	585.99957	996.0004
2310003L06Rik	0	0	0	0	0	0	0	0	0	0
2310007B03Rik	0	0	0	0	0	0	0	0	0	0
2310009B15Rik	40.9965	55.4525	38.6218	41.8866	56.8436	24.0317	27.7506	15.8241	29.1376	18.5095
2310011J03Rik	249	459	388	372	573	179	162	139	146	219
2310022A10Rik	524.87591	770.7808	785.08847	827.1242	1224.5811	435.35	386.47152	337.99923	399.39866	473.5648
2310022B05Rik	914	1416	1790	1992	2826	556	632	518	527	793
2310030G06Rik	99	139	98	142	216	71	58	47	80	58
2310033P09Rik	79	119	87	94	152.299	69	68	42	68	94
2310034C09Rik	0	0	0	0	0	0	0	0	0	0
2310034G01Rik	3	9	6	7	12	2	11	6	2	6
2310039H08Rik	0	0	0	0	0	0	0	0	0	0
2310046K23Rik	0	0	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0	0	0	1	0
2310057M21Rik	131.6884	311.95463	368.06063	529.51421	641.283	60.1131	38.75654	35.5948	47.6037	59.45305
2310057N15Rik	0	0	0	0	0	0	0	0	0	0
2310061I04Rik	509.99908	733.06113	648.99946	624	1040.0276	606.99934	500.49661	382.00051	419.9212	649.149301
2310061N02Rik	0	0	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0	0	0
2410002F23Rik	215.77189	374.32526	337.0659056	387.71418	507.190652	140.834153	128.00006	120.00006	127.53331	155.12211
2410004B18Rik	151.0878	196.47443	228.77832	175.5269	288.38327	131.5276	130.00005	121	105.2481	170.53447
2410004P03Rik	2.27319	9.7546343	7.85948	6.03449	14.2106	7.1369	9.28461	6.11911	4.78803	7.06117
2410015M20Rik	1133	1498	1254	1307	1860	933	849	663	748	1121
2410131K14Rik	255.447	408.01	367.213	437.191	598.95	246.189	197.486	148.281	179.321	319
2410137M14Rik	9	6	4	3	4	9	6	3	5	5
2410141K09Rik	1	3.05141	1.92101	1.00164	1.00725	1	3.06662	0	2	2.01765
2510002D24Rik	89.19215	184.40741	128.72853	157.77397	179.4206	107.63829	113.66019	94.22787	63.82101	104.64323
2510009E07Rik	333	470	430	480	754	273	222	178	166	392
2510039O18Rik	396	745	622	645	953	314	246	225	260	407
2610001J05Rik	683.00007	870.99909	825.00015	823.00025	1221.0002	519.9996	429.99974	409.00009	470.0001	613.0000001
2610002M06Rik	216	273	275.843	279	418	189	192	112	119	184
2610008E11Rik	283.00025	340.00049	275.00049	354.99958	485.66875	307.747	303.70689	189	208	367.00027
2610021A01Rik	80.469	105.148	115.99968	100.975	175.345	78.0177	97.97473	46	75.1463	109.125
2610028H24Rik	3.93754	15.693	9.27185	24.7841	39.9715	7.50315	3.85935	1.42295	1.55661	2.95189
2610042L04Rik	0	0	0	0	0	0	0	0	0	0
2610044O15Rik8	348.89612	396.02004	388.7247	327.0002	553.70747	386.7953	304.694	200.78345	262.99976	363.0579
2610301B20Rik	144	155	144	155	250.00003	126	98	64	99	131
2610318N02Rik	0	0	0	0	0	0	0	0	0	0
2610507B11Rik	4434.69	6619.01	6276.15	7074.58	9064.3	4013.78	4370.12	2207.59	2406.95	5597.15
2610528A11Rik	0	0	0	2	1	0	0	0	0	0
2610528J11Rik	0	0	0	0	0	0	0	0	0	0
2700049A03Rik	56	82	60	56	110	45	60	38	18.00004	70
2700062C07Rik	0	0	0	0	0	0	0	0	0	0
2700081O15Rik	189.785	287.09	193.923	265.33972	407.203	169.678	157.875	137.644	122.861	176.953
2700097O09Rik	56.6104	85.7007	91.5097	82.2338	180.686	89.5217	79.4893	82.041	71.6922	132.77
2810004N23Rik	765.056	1068.97	1090.37	910.162	1514.71	788.08	735.205	482.958	623.126	1053.69
2810006K23Rik	126.88059	116.64073	122.784	95.7088	176.76981	154.334	132.78826	79.1125	140.97119	173.947
2810021J22Rik	39.999997	46	40	39.29519	62.16187	35	41	31	19	56
2810408A11Rik	0	1.70407	0.0440516	0.278932	2.71546	3.00000002	0	0	4.53961	0
2810459M11Rik	0	1	0	3	1	0	1	0	0	0
2900011O08Rik	0	0	0	1	1	0	2	0	0	3
2900026A02Rik	348.0896	668.407	654.3411	819.6713	1009.171	291.2065	294.4213	154.1365462	224.1676	370.1653
2900055J20Rik	1	0	0	0	1	0	0	0	0	0
2900092C05Rik	0	0	0	1	0	0	0	0	0	0
3100002H09Rik	0	0	0	0	0	0	0	0	0	0
3110001I22Rik	0	9.55E-08	0	0	0	0	19	6	10	8.55107
3110009E18Rik	12	15	19.84869	12.99999	29.00005	10	7	8	12	6.77094
3110018I06Rik	0	0	0	0	0	0	0	0	0	0
3110021N24Rik	0	0	0	0	0	1.05793	1.31418	0	0	2.66554
3110040M04Rik	0	0	0	0	1	0	4.73467	0	0	0
3110040N11Rik	61.9727	90.637	67.433	52.6567	77.2224	58.9263	43.6862	39.6242	50.4396	60.8572
3110070M22Rik	6	13	13	7	20	8	7	5	5	9.18358
3110082I17Rik	76.00004	149.0013	125.9333	120.6559	188.9996	50.99999	29	22	24	50
3110082J24Rik	0	0	0	0	1	0	0	0	0	0
3300002I08Rik	4.62376	2.60246	0	0	0	4.4203	0	1	0	1.303
3425401B19Rik	755.659	1142.36	933.835	1090.82	1325.41	973.259	1003.07	528.826	669.85	1097.9
3830403N18Rik	23	23	26.3672	20.3736	32.3145	19	30	7.34462	19	39.5886
3830406C13Rik	143.36852	207.0563	147.8909073	168.8189895	259.66426	216.4361354	195.498328	114.9556	107.86076	212.7977114
3830417A13Rik	1	0	3	0	2	0	2	0	0	0
4430402I18Rik	146.08365	122.0001	88.43356	147.838	139.1213	124.79915	125.99997	65.1209418	104.21266	159.97838
4632433K11Rik	4.31743	0	1.22998	1.97291	5.34314	3.42048	3.34167	9.52158	0	3.69661
4833420G17Rik	174.4874	259.490662	202.4667	211.555	311.3212	150.0564613	165.76762	117.5251	130.4338	196.28325
4833423E24Rik	0	0	0	0	0	0	0	0	0	0
4833427G06Rik	0	0	0	0	1	0	0	0	0	0
4833439L19Rik	1294.76435	1801.68414	1481.57497	1608.534	2405.90219	1155.69561	1167.84102	793.82149	879.105	1401.36943
4921501E09Rik	0	0	0	0	0	0	0	0	0	0
4921504E06Rik	0	0	0	0	0	0	0	0	0	0
4921507P07Rik	10	7	3	9	14	4	6	6	4	10
4921509C19Rik	0	0	0	0	0	0	0	0	0	0
4921511C20Rik	0	0	0	0	0	0	0	0	0	0
4921511M17Rik	0	0	0	0	0	0	0	0	0	0
4921517D22Rik	0	0	0	0	0	0	0	0	0	0
4921524J17Rik	305.596	389.772	363.582	360.148	567.466	229.966	230.786	160	160	295
4921524L21Rik	0	0	0	0	0	0	0	0	0	0
4921530L21Rik	0	0	0	0	0	0	0	0	0	0
4921536K21Rik	6	10	2	4	9	7	21	8	9	16
4921539E11Rik	0	0	0	0	0	0	0	0	0	0
4922502D21Rik	0	0	0	0	0	0	0	0	0	0
4930402F06Rik	0	0	0	0	0	0	0	0	1	0
4930402H24Rik	615.72566	1231.81968	1221.95845	1035.34988	1845.72315	795.96276	601.1908	380.92729	406.73616	987.96259
4930402K13Rik	0	0	0	0	0	0	0	0	0	0
4930404H24Rik	0	0	0	0	0	0	0	0	0	2
4930404N11Rik	3.17729	3.60349	0	2.18893	7.15493	1.2127	0	1.28224	0	0
4930407I10Rik	0	0	0	0	0	0	0	0	0	0
4930412O13Rik	0	1	0	0	0	0	0	0	0	1
4930415L06Rik	0	0	0	0	0	0	0	0	0	0
4930415O20Rik	4	6	4	5	5	5	1	2	3	9
4930426L09Rik	3	4	4	3	1	2	0	3	0	0
4930430A15Rik	0	0	0	0	0	0	0	0	2	0
4930430F08Rik	48.21831	33.8755	62.30633	39.75482	100.95381	70.1948	35.578112	29.5509	41.70253	61.1886
4930432K21Rik	2	10	2	3.999996	10	5	2	4	6	8
4930432M17Rik	0	0	0	0	0	0	0	0	0	0
4930433I11Rik	0	0	0	0	0	0	0	0	0	0
4930435E12Rik	0	0	0	0	0	0	0	0	0	0
4930438A08Rik	0	0	0	1	1	0	0	0	0	0
4930442H23Rik	0	2	0	0	1	0	0	0	0	0
4930444G20Rik	0	0	0	0	0	0	0	0	0	0
4930444P10Rik	1	1.7441	1	3.00104	1.00243	0	2.00118	1.00159	0	0
4930447A16Rik	0	0	0	0	0	0	0	0	0	0
4930447C04Rik	1	1.311709	1	0.614722	1	1	1	1	0	3
4930447F04Rik	0	0	0	0	0	0	0	0	0	0
4930449I24Rik	0	0	0	0	0	0	0	0	0	0
4930451I11Rik	0	0	0	0	0	0	0	0	0	0
4930452B06Rik	11	16	0	11	14	21	9.76665	7.56675	23	21.4474
4930453N24Rik	405.933	538.697	467.749	556.732	779.641	348.821	282.802	195.049	231.352	379.991
4930455H04Rik	0	0	4.00588	0	1.00113	2	1	0	0	1
4930467E23Rik	0	0	0	0	0	0	2.95777	2.23609	0	0
4930469K13Rik	0	0	1	0	0	0	0	0	0	0
4930470P17Rik	0	0	0	0	0	0	0	0	0	0
4930474N05Rik	0	0	0	0	1.36316	1.00536	5	0	0	1.00265
4930480E11Rik	0	0	0	0	0	0	0	0	0	0
4930486L24Rik	1.55E-05	3.70179	1.17693	0	0	0	0	2.98E-05	0	0
4930502E18Rik	0	1	1	0	1	0	0	0	0	0
4930503B20Rik	0	0	2.1631	0	3.35027	0	0	0	0	7.38728
4930503E14Rik	0	0	0	0	0	0	0	0	0	0
4930503L19Rik	18.878203	23.27006	23.65791209	38.32087	55.11178	16.66417	21.8307	3.80986	10.25265	28.13745
4930504O13Rik	0	0	0	0	0	0	0	0	0	0
4930505A04Rik	2	0	1	3	0	3	1	0	0	2
4930507D05Rik	1.01345	2.04117	6.27287	11.1226	5.0905	0	3.0493	2.01384	5.07204	1.02357
4930512M02Rik	0	0	0	0	0	0	0	0	0	0
4930513O06Rik	0	0	0	0	0	0	0	0	0	0
4930516K23Rik	8.14553	19.007	13.2483	25.1417	19.6116	6	12.0046	3.10028	11.2993	6.01069
4930518I15Rik	4	14	3	7	7	1	1	2	1	8
4930519G04Rik	0	1	1.02397	1.059	5.14547	0	0	0	0	0
4930519P11Rik	0	0	2	1	2	0	0	0	2	0
4930522H14Rik	0	0	0	0	0	0	0	0	0	0
4930522L14Rik	19.11652	24.529	18.77545	33.9152	46.6954	15.25262	23.85578	8.71864	9.37253	26.09265
4930523C07Rik	346.4072	461.1145	503.30892	563.32549	866.686301	254.593301	309.3587	117.409	174.94759	246.8539
4930524B15Rik	0	0	0	0	0	0	0	0	0	0
4930524J08Rik	3	1	1	2	0	1	0	1	1	0
4930524N10Rik	0	0	0	0	0	0	0	0	0	0
4930535I16Rik	0	0	0	0	0	0	0	0	0	0
4930539E08Rik	4.18226	11.4796	5.10502	6.12727	21.2793	3.04293	8.96863	3.12919	3.2524	8.26783
4930544D05Rik	0	0	0	0	0	0	0	0	0	0
4930544G11Rik	0	0	0	0	0	0	0	0	0	0
4930546C10Rik	0	0	0	0	0	0	0	0	0	0
4930548H24Rik	0	0	0	2	1	0	0	0	0	0
4930550C14Rik	3.999996	0	7.999997	3	4	1	3	3	0	2
4930550L24Rik	0	1	0	0	1	0	0	0	0	0
4930553J12Rik	0	0	0	0	0	0	0	0	0	0
4930555G01Rik	0	2.35163	0	6.7671	0	2.61254	0.341309	0	0	0.64067
4930556J24Rik	0	0	0	0	1	0	0	0	0	0
4930558C23Rik	0	0	0	0	0	0	0	0	0	0
4930558K02Rik	0	0	0	0	0	0	1	0	0	0
4930562C15Rik	0	7.83E-06	0	0	0	0	0	0	0	0
4930563M21Rik	0	0	0	1	0	0	0	1	0	0
4930564D02Rik	0	0	0	1	0	0	0	0	0	0
4930568D16Rik	0	0	0	0	0	0	0	0	0	0
4930572O03Rik	2	0	1.21197	0	3.14143	0	4.32E-07	0	0	0
4930578C19Rik	3.2556	9.65848	3.43359	17.8542	6.17291	0	2.83077	0	0	8.83213
4930578G10Rik	1	2.86132	0	0	2	0	0	1	4	3
4930578I06Rik	0	0	0	0	0	0	0	0	0	0
4930579F01Rik	0	0	0	1	0	0	0	0	0	0
4930579G24Rik	45.3494	43.721	38.8843	34.0237	67.3114	26.7906	20.0137	18.5019	20.0394	18.6298
4930583I09Rik	0	0	0	0	0	0	0	0	0	0
4930590J08Rik	0	3	0	2	1	0	0	0	2	1
4930595D18Rik	0	0	0	0	0	0	0	0	0	0
4930595M18Rik	0	0	0	0	0	0	0	0	0	0
4930596D02Rik	0	0	0	0	0	0	0	0	0	0
4931400O07Rik	0	0	0	0	0	0	0	0	0	0
4931406B18Rik	1.00016	4.22945	4.37026	5.01446	3.40984	0	1	0	0	1
4931406C07Rik	151.37647	211.7387	159.75503	192.377	266.76156	173.93578	134.00006	99	90.93604	141.82089
4931406P16Rik	560.711	957.814	1003.6182	1152.6186	1258.52257	540.33	574.94545	236	319.724	595.613413
4931408C20Rik	0	0	0	0	0	0	0	0	0	0
4931409K22Rik	0	0	0	0	0	0	0	0	0	0
4931414P19Rik	52	52.000006	47.999979	41	75	31	34	23	34	55
4931417E11Rik	0	0	0	0	0	0	0	0	0	0
4931422A03Rik	0	0	0	0	0	0	0	0	0	0
4931423N10Rik	1	1	0	0	2	0	0	0	0	0
4931428F04Rik	35.69948	42.1937	44.82864	34.37869	65.09074	34.0438	19.62	15.2983	29.5439	38.39155
4931428L18Rik	0	0	0	0	0	0	0	0	0	0
4931429L15Rik	0	1	2	0	1	0	0	0	0	1.00435
4931440F15Rik	0	4.10997	0	2.07015	0	0	1.02174	2.04481	0	0
4932411N23Rik	0	3	1	1	0	3	0	0	0	1
4932414N04Rik	1	3	0	6	4	3	0	0	3	2
4932415D10Rik	0	0	0	1	0	0	1	0	0	0
4932429P05Rik	0	0	0	0	0	0	0	0	0	0
